,Condition,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,HR,Accuracy,Missed,nTrials
0,Less,up,1.6659740000000056,5,1.38,-30,140,0,False,1
1,More,up,2.2268956000000344,7,2.594,50,67,1,False,2
2,More,up,1.4731025000000955,7,1.832,38,71,1,False,3
3,More,up,1.6306620999998813,5,1.3,38,68,1,False,4
4,More,up,2.6690203000000565,4,1.776,26,64,1,False,5
5,Less,down,2.196484699999928,6,1.544,-26,60,1,False,6
6,Less,down,3.5294077999999445,3,2.503,-14,63,1,False,7
7,Less,down,3.445472400000199,2,2.658,-14,70,1,False,8
8,More,up,3.6702319999999418,5,1.634,2,66,1,False,9
9,Less,up,2.965608699999848,3,2.282,-2,67,0,False,10
10,More,up,2.176849600000196,5,3.02,9,66,1,False,11
11,More,up,2.0157815999998547,5,1.45,9,65,1,False,12
12,Less,down,3.1416701999999077,2,3.017,-5,66,1,False,13
13,More,up,1.7702782999999727,3,1.343,5,68,1,False,14
14,Less,down,4.524572700000135,3,1.189,-1,65,1,False,15
15,Less,up,4.415660900000148,3,1.079,-1,69,0,False,16
16,More,up,2.788072199999988,5,1.667,4,83,1,False,17
17,More,up,1.5561380999999983,4,0.866,4,84,1,False,18
18,Less,down,2.4681900000000496,3,2.017,-2,57,1,False,19
19,More,up,3.124313999999913,5,1.975,2,66,1,False,20
20,Less,up,3.304701600000044,6,2.472,-1,76,0,False,21
21,More,up,3.056497699999909,6,1.489,2,76,1,False,22
22,Less,up,3.162759699999924,3,1.535,-2,67,0,False,23
23,Less,up,4.015050799999926,4,1.782,-3,67,0,False,24
24,Less,down,4.304470900000069,1,1.196,-4,66,1,False,25
25,More,up,3.587657199999967,2,0.915,4,68,1,False,26
26,More,up,2.1358774999998786,5,1.497,3,69,1,False,27
27,More,up,2.478641499999867,5,0.988,3,74,1,False,28
28,Less,up,3.323236500000121,2,1.084,-2,71,0,False,29
29,More,up,2.8537653999999293,6,2.023,3,73,1,False,30
30,Less,up,2.479471900000135,5,0.937,-3,74,0,False,31
31,More,down,4.052490599999828,3,3.025,4,60,0,False,32
32,More,up,2.965726899999936,3,1.265,5,68,1,False,33
33,Less,down,2.8152910999999676,5,1.609,-5,69,1,False,34
34,Less,down,6.200374800000191,2,1.194,-4,71,1,False,35
35,Less,up,4.102107200000091,2,1.326,-4,72,0,False,36
36,Less,up,3.3906004000000394,2,0.922,-5,69,0,False,37
37,More,up,4.309332600000062,4,1.335,6,65,1,False,38
38,Less,down,2.633648100000073,2,1.103,-6,64,1,False,39
39,Less,up,6.637418000000025,1,1.467,-5,65,0,False,40
40,Less,down,4.180283200000076,2,1.35,-6,72,1,False,41
41,More,up,2.595986000000039,6,2.368,6,76,1,False,42
42,Less,up,6.0292541000001165,5,1.898,-5,68,0,False,43
43,Less,up,5.3074073999998745,4,1.178,-6,73,0,False,44
44,Less,down,5.10442809999995,2,0.824,-7,69,1,False,45
45,More,up,2.2058655000000726,3,3.022,7,64,1,False,46
46,More,up,2.308250399999906,6,1.037,6,73,1,False,47
47,Less,down,2.991018900000199,4,1.499,-6,71,1,False,48
48,Less,down,3.6411598999998205,3,1.474,-5,67,1,False,49
49,More,up,2.349443600000086,4,1.133,5,63,1,False,50
