,Condition,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,HR,Accuracy,Missed,nTrials
0,Less,down,2.24292129999958,1,3.018,-30,199,1,False,0
1,More,up,4.553963500075042,4,3.026,15,62,1,False,1
2,More,down,4.781084600137547,3,2.258,15,49,0,False,2
3,Less,,,,,-27,52,,True,3
4,Less,,,,,-27,50,,True,4
5,Less,,,,,-27,50,,True,5
6,More,up,4.240938699804246,6,2.082,27,49,1,False,6
7,Less,,,,,-27,51,,True,7
8,Less,down,7.409717699978501,7,1.398,-27,51,1,False,8
9,More,up,2.8321946000214666,7,1.895,20,50,1,False,9
10,More,up,3.556582200108096,7,0.96,20,62,1,False,10
11,Less,down,3.6761759999208152,7,1.181,-15,52,1,False,11
12,More,up,3.2411561999469995,5,1.771,15,52,1,False,12
13,More,down,3.262560199946165,5,1.358,15,53,0,False,13
14,Less,down,3.2136198999360204,5,2.108,-19,65,1,False,14
15,Less,down,2.6921335998922586,4,1.337,-19,54,1,False,15
16,More,up,1.8067176998592913,6,1.439,16,53,1,False,16
17,More,up,3.0135199001524597,3,0.932,16,53,1,False,17
18,Less,down,2.1756075001321733,6,1.675,-15,53,1,False,18
19,More,up,2.209131799871102,2,1.243,15,54,1,False,19
20,Less,down,3.5256868000142276,3,1.007,-15,54,1,False,20
21,More,up,2.039586199913174,5,1.584,15,53,1,False,21
22,Less,down,2.1331547000445426,6,1.352,-15,53,1,False,22
23,Less,down,3.6515625999309123,3,1.071,-15,54,1,False,23
24,Less,up,4.695220900001004,2,1.756,-15,54,0,False,24
25,Less,down,3.5102782000321895,4,1.885,-17,54,1,False,25
26,More,up,1.7120262999087572,5,1.336,17,53,1,False,26
27,More,up,2.2894936001393944,3,1.116,16,53,1,False,27
28,Less,down,2.0858233999460936,5,1.131,-16,55,1,False,28
29,Less,up,3.410135099897161,5,1.183,-15,63,0,False,29
30,More,up,1.9733720999211073,5,1.715,16,54,1,False,30
31,Less,down,4.037811600137502,4,1.217,-16,52,1,False,31
32,Less,down,4.430205899989232,4,1.207,-15,51,1,False,32
33,Less,down,4.1745285000652075,3,1.388,-15,55,1,False,33
34,More,up,1.7327562000136822,7,1.328,15,56,1,False,34
35,More,up,2.4713794998824596,5,1.343,15,54,1,False,35
36,Less,down,4.000872799893841,3,1.396,-15,52,1,False,36
37,Less,up,4.245194399962202,2,1.662,-15,55,0,False,37
38,More,up,1.7465987999457866,5,0.914,16,57,1,False,38
39,Less,down,4.874989999923855,1,1.475,-16,51,1,False,39
40,More,up,2.3467069000471383,5,1.875,15,47,1,False,40
41,More,up,2.1346018998883665,4,1.353,15,58,1,False,41
42,More,up,1.8030220998916775,6,2.2,15,56,1,False,42
43,Less,up,5.994405600009486,1,1.498,-15,51,0,False,43
44,More,up,2.370773300062865,3,1.361,16,48,1,False,44
45,More,up,2.487165000056848,6,1.652,16,60,1,False,45
46,More,up,2.685699400026351,3,1.14,15,52,1,False,46
47,Less,down,4.260204600170255,3,2.125,-15,53,1,False,47
48,More,up,2.4447685999330133,4,2.005,15,60,1,False,48
49,More,up,2.653229400049895,5,1.51,15,58,1,False,49
