,Condition,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,HR,Accuracy,nTrials
0,Less,down,1.510346999988542,,,-30,75,1,1
1,Less,down,1.507550900001661,,,-20,53,1,2
2,Less,down,3.0094727000105195,,,-10,55,1,3
3,Less,down,3.1377387999964412,,,-1,49,1,4
4,Less,down,3.853005099997972,,,-1,52,1,5
5,More,up,4.118184699997073,,,1,54,1,6
6,More,down,2.7887380000029225,,,1,49,0,7
7,More,up,3.1805986000108533,,,6,50,1,8
8,Less,down,2.2743476999894483,,,-5,50,1,9
9,Less,down,4.437297700002091,,,-4,55,1,10
10,Less,up,3.9986504999978933,,,-3,58,0,11
11,Less,down,2.743711000002804,,,-3,55,1,12
12,Less,up,2.5991987000015797,,,-2,63,0,13
13,Less,down,1.6778956000052858,,,-2,50,1,14
14,Less,down,4.048448300003656,,,-1,49,1,15
15,More,up,2.76331829999981,,,1,66,1,16
16,More,down,5.073765500012087,,,1,50,0,17
17,Less,down,3.9299887999950442,,,-1,52,1,18
18,Less,up,3.755412599988631,,,-1,55,0,19
19,More,up,2.949109999986831,,,1,67,1,20
20,Less,up,1.8955512999964412,,,-1,69,0,21
21,Less,down,2.1670729000034044,,,-1,56,1,22
22,More,down,3.5391518999967957,,,1,50,0,23
23,More,up,2.930058400001144,,,1,58,1,24
24,Less,up,4.13950420000765,,,-1,55,0,25
25,More,down,3.201377599994885,,,1,52,0,26
26,Less,up,2.818684400001075,,,-2,56,0,27
27,Less,up,3.555358099998557,,,-2,58,0,28
28,Less,up,1.7636731999955373,,,-3,62,0,29
29,More,up,2.4357507999957306,,,3,57,1,30
30,Less,up,3.1263631000038004,,,-2,65,0,31
31,More,up,2.5269900999992387,,,2,57,1,32
32,More,down,5.422566499997629,,,1,47,0,33
33,More,down,1.8967797000077553,,,1,51,0,34
34,More,down,4.151314899994759,,,2,50,0,35
35,More,up,2.8914598999981536,,,2,54,1,36
36,More,up,4.135323199996492,,,1,61,1,37
37,More,up,3.853812300003483,,,1,57,1,38
38,More,down,4.76447460000054,,,1,55,0,39
39,More,up,4.706588200002443,,,1,58,1,40
40,Less,up,5.6506989000045,,,-1,55,0,41
41,More,up,4.060947099991608,,,1,54,1,42
42,Less,down,5.2732460999977775,,,-1,52,1,43
43,More,up,1.7201631999923848,,,1,70,1,44
44,Less,down,2.691788900003303,,,-1,54,1,45
45,More,down,4.955210200001602,,,1,54,0,46
46,More,down,3.476337900006911,,,1,52,0,47
47,More,down,2.4699725000100443,,,2,55,0,48
48,More,down,3.218724200007273,,,2,57,0,49
49,More,up,3.1852923999977065,,,3,59,1,50
