,Condition,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,HR,Accuracy,nTrials
0,Less,down,1.9540208999969764,,,-30,71,1,1
1,Less,down,2.737739500007592,,,-20,75,1,2
2,Less,down,1.9350427000026684,,,-10,67,1,3
3,Less,up,2.2324857999919914,,,-1,66,0,4
4,Less,down,2.631938899998204,,,-11,66,1,5
5,Less,up,2.6031068000011146,,,-11,66,0,6
6,Less,down,2.0454002999904333,,,-21,68,1,7
7,More,up,1.6798627999960445,,,21,68,1,8
8,Less,up,2.2298893999977736,,,-11,65,0,9
9,Less,down,1.8460632000060286,,,-16,72,1,10
10,Less,down,1.6901515999925323,,,-16,64,1,11
11,More,up,1.5675130000017816,,,11,63,1,12
12,Less,up,4.09641849999025,,,-11,66,0,13
13,Less,up,2.680778800000553,,,-12,70,0,14
14,Less,down,1.6362243999901693,,,-13,65,1,15
15,Less,down,1.8308112000086112,,,-13,64,1,16
16,More,up,1.5287725999951363,,,12,64,1,17
17,More,up,1.531244500001776,,,12,66,1,18
18,More,up,1.5957804000063334,,,11,66,1,19
19,Less,down,1.4900885000097333,,,-11,66,1,20
20,More,up,1.3231350999994902,,,10,76,1,21
21,More,up,1.9267897000099765,,,10,72,1,22
22,Less,down,1.5183329999999842,,,-9,72,1,23
23,More,up,1.4963253999885637,,,9,69,1,24
24,Less,down,1.3723137999913888,,,-8,72,1,25
25,More,up,1.4333847000089008,,,8,75,1,26
26,More,up,1.4196150000061607,,,7,74,1,27
27,Less,down,2.511074499998358,,,-7,74,1,28
28,More,up,1.6536526999989292,,,6,76,1,29
29,More,up,1.389690399999381,,,6,76,1,30
30,Less,down,1.259961600007955,,,-5,76,1,31
31,Less,down,1.3511346000013873,,,-5,78,1,32
32,Less,up,2.9172315999894636,,,-4,78,0,33
33,Less,up,1.6548336999985622,,,-5,74,0,34
34,Less,down,3.11833789999946,,,-6,74,1,35
35,Less,down,1.382446000003256,,,-6,74,1,36
36,More,up,1.4804157000035048,,,5,74,1,37
37,Less,up,2.880299299999024,,,-5,81,0,38
38,Less,down,2.423955299993395,,,-6,72,1,39
39,More,up,1.6218020999949658,,,6,72,1,40
40,Less,up,3.141885499993805,,,-5,74,0,41
41,More,up,1.6966356000048108,,,6,67,1,42
42,More,down,2.3099643000023207,,,6,71,0,43
43,Less,down,2.605455900004017,,,-7,74,1,44
44,More,up,4.177192300005117,,,7,66,1,45
45,More,up,2.321949900011532,,,6,69,1,46
46,More,up,1.790507700003218,,,6,72,1,47
47,Less,up,2.586329799989471,,,-5,76,0,48
48,More,up,1.3814283999963664,,,6,75,1,49
49,Less,up,3.5934295000042766,,,-6,76,0,50
